Ward No.,Ward Name,Taluk,Hobli,Assembly Constituency[3],Lok Sabha Constituency[4],Area (km²)[5],Household (HH) - 2011,Population,Population_1,Popn density,Popn density_2,Popn growth rate (%) 2001 - 2011,HH growth rate (%) 2001 - 2011,BBMP Zone[6],BBMP Division,BBMP Sub-Division
131,Nayandahalli,Bangalore South,Kengeri,Govindraj Nagar,Bangalore South,2.1,10285,22878,42785,10894,20860,87.00,98.10,South,Govindarajanagar,Chandra Layout
132,Attiguppe,Bangalore North,City Circle,Vijay Nagar,Bangalore South,1.4,10576,26806,41487,19147,29971,54.80,72.00,South,Vijayanagar,Gali Anjaneya Temple
133,Hampinagar,Bangalore North,City Circle,Vijay Nagar,Bangalore South,1.1,8456,30355,35113,27595,31659,15.70,25.50,South,Vijayanagar,Gali Anjaneya Temple
134,Bapujinagar,Bangalore North,City Circle,Vijay Nagar,Bangalore South,0.7,10647,36234,49484,51763,72549,36.60,45.40,South,Vijayanagar,Vijayanagar
135,Padarayanapura,Bangalore North,City Circle,Chamrajpet,Bangalore Central,0.3,7273,35213,37599,117377,118059,6.80,17.00,West,Chamarajpet,Chamarajpet
136,Jagjivanram Nagar,Bangalore North,City Circle,Chamrajpet,Bangalore Central,0.6,7751,33758,38639,56263,60762,14.50,22.20,West,Chamarajpet,Jagjivanram Nagar
137,Rayapuram,Bangalore North,City Circle,Chamrajpet,Bangalore Central,0.4,7549,32949,36039,82373,81770,9.40,26.90,West,Chamarajpet,Jagjivanram Nagar
138,Chalavadipalya,Bangalore North,City Circle,Chamrajpet,Bangalore Central,0.4,4896,25319,24801,63298,62762,-2.00,5.10,West,Chamarajpet,Jagjivanram Nagar
139,Krishnarajendra Market,Bangalore North,City Circle,Chamrajpet,Bangalore Central,0.8,5903,28514,29344,35643,36068,2.90,7.60,West,Chamarajpet,Jagjivanram Nagar
140,Chamarajapet,Bangalore North,City Circle,Chamrajpet,Bangalore Central,1.0,7500,33398,32213,33398,30976,-3.50,5.30,West,Chamarajpet,Chamarajpet
141,Azadnagar,Bangalore North,City Circle,Chamrajpet,Bangalore Central,0.7,9246,35741,38825,51059,57539,8.60,20.30,West,Chamarajpet,Chamarajpet
142,Sunkenahalli,Bangalore North,City Circle,Chickpet,Bangalore South,1.5,8643,36158,34666,24105,23137,4.10,3.40,South,Chickpet,Kempegowdanagar
143,Visvesvarapuram,Bangalore North,City Circle,Chickpet,Bangalore South,2.5,7361,36093,32462,14437,13186,-10.10,-2.50,South,Chickpet,Kempegowdanagar
144,Siddapura,Bangalore North,City Circle,Chickpet,Bangalore South,0.7,7396,32194,34879,45991,52299,8.30,14.60,South,Chickpet,Hombegowdanagar
145,Hombegowdanagar,Bangalore North,City Circle,Chickpet,Bangalore South,1.4,8948,36455,38309,26039,27202,5.10,16.40,South,Chickpet,Hombegowdanagar
146,Lakkasandra,Bangalore South,Begur,B.T.M Layout,Bangalore South,1.3,7229,28303,30667,21772,23689,8.40,21.80,South,BTM Layout,BTM Layout
147,Adugodi,Bangalore South,Begur,B.T.M Layout,Bangalore South,1.6,8236,29945,34299,18716,21559,14.50,26.00,South,BTM Layout,Koramangala
148,Ejipura,Bangalore South,Begur,B.T.M Layout,Bangalore South,1.9,12575,29105,47004,15318,25093,61.50,84.00,South,BTM Layout,Koramangala
